# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20170101-20171231
# ----------------------------------------

Day Index,Users
1/1/17,11
1/2/17,0
1/3/17,8
1/4/17,0
1/5/17,0
1/6/17,0
1/7/17,1
1/8/17,0
1/9/17,0
1/10/17,0
1/11/17,0
1/12/17,0
1/13/17,0
1/14/17,0
1/15/17,0
1/16/17,0
1/17/17,0
1/18/17,8
1/19/17,0
1/20/17,0
1/21/17,0
1/22/17,1
1/23/17,0
1/24/17,0
1/25/17,0
1/26/17,0
1/27/17,0
1/28/17,0
1/29/17,0
1/30/17,1
1/31/17,1
2/1/17,0
2/2/17,1
2/3/17,0
2/4/17,1
2/5/17,0
2/6/17,0
2/7/17,0
2/8/17,0
2/9/17,1
2/10/17,1
2/11/17,0
2/12/17,1
2/13/17,2
2/14/17,1
2/15/17,2
2/16/17,0
2/17/17,0
2/18/17,0
2/19/17,1
2/20/17,1
2/21/17,1
2/22/17,4
2/23/17,1
2/24/17,2
2/25/17,0
2/26/17,0
2/27/17,5
2/28/17,1
3/1/17,2
3/2/17,1
3/3/17,4
3/4/17,1
3/5/17,2
3/6/17,0
3/7/17,0
3/8/17,0
3/9/17,1
3/10/17,2
3/11/17,1
3/12/17,1
3/13/17,2
3/14/17,5
3/15/17,1
3/16/17,0
3/17/17,1
3/18/17,1
3/19/17,1
3/20/17,4
3/21/17,2
3/22/17,1
3/23/17,1
3/24/17,3
3/25/17,3
3/26/17,4
3/27/17,3
3/28/17,2
3/29/17,4
3/30/17,2
3/31/17,2
4/1/17,0
4/2/17,3
4/3/17,4
4/4/17,4
4/5/17,3
4/6/17,2
4/7/17,3
4/8/17,2
4/9/17,2
4/10/17,6
4/11/17,4
4/12/17,2
4/13/17,2
4/14/17,3
4/15/17,1
4/16/17,2
4/17/17,2
4/18/17,2
4/19/17,3
4/20/17,2
4/21/17,0
4/22/17,0
4/23/17,0
4/24/17,3
4/25/17,2
4/26/17,5
4/27/17,1
4/28/17,2
4/29/17,1
4/30/17,0
5/1/17,1
5/2/17,2
5/3/17,0
5/4/17,2
5/5/17,1
5/6/17,2
5/7/17,3
5/8/17,2
5/9/17,1
5/10/17,1
5/11/17,1
5/12/17,2
5/13/17,0
5/14/17,2
5/15/17,2
5/16/17,1
5/17/17,5
5/18/17,4
5/19/17,4
5/20/17,2
5/21/17,4
5/22/17,4
5/23/17,1
5/24/17,2
5/25/17,3
5/26/17,0
5/27/17,3
5/28/17,5
5/29/17,2
